name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Trey McBride,1,1,TE,TE,ARI,2963385,17,153,115,1134,66.7,9.9,8,0,152,8.9,2026
Brock Bowers,2,3,TE,TE,LV,26693971,17,119,88,982,57.8,11.2,9,0,143,8.4,2026
Colston Loveland,3,2,TE,TE,CHI,28874696,17,126,84,1036,60.9,12.3,8,0,143,8.4,2026
Harold Fannin Jr.,4,4,TE,TE,CLE,28900882,17,129,87,877,51.6,10.1,9,1,138,8.1,2026
Dallas Goedert,5,5,TE,TE,PHI,2132551,17,92,68,720,42.4,10.6,11,0,136,8,2026
George Kittle,6,6,TE,TE,SF,2818265,17,95,77,904,53.2,11.7,8,0,131,7.7,2026
Tucker Kraft,7,7,TE,TE,GB,3133332,17,75,55,783,46.1,14.2,10,0,130,7.6,2026
Tyler Warren,8,8,TE,TE,IND,3168800,17,109,74,904,53.2,12.2,6,0,125,7.4,2026
Isaiah Likely,9,9,TE,TE,NYG,2961906,17,99,72,895,52.6,12.4,7,2,119,7,2026
Sam LaPorta,10,10,TE,TE,DET,3124197,17,92,72,909,53.5,12.6,6,0,119,7,2026
Mark Andrews,11,11,TE,TE,BAL,2131121,17,84,60,593,34.9,9.9,10,0,117,6.9,2026
Dalton Kincaid,12,12,TE,TE,BUF,2982991,17,81,59,776,45.6,13.2,7,0,111,6.5,2026
Kyle Pitts,13,13,TE,TE,ATL,2964514,17,103,75,822,48.4,11,6,0,109,6.4,2026
Travis Kelce,14,14,TE,TE,KC,1725130,17,110,78,813,47.8,10.4,6,0,108,6.4,2026
Brenton Strange,15,15,TE,TE,JAC,3121696,17,95,70,814,47.9,11.6,5,0,102,6,2026
Juwan Johnson,16,16,TE,TE,NO,2186637,17,94,71,872,51.3,12.3,4,2,100,5.9,2026
Hunter Henry,17,17,TE,TE,NE,2079848,17,83,56,700,41.2,12.5,6,0,99,5.8,2026
Jake Ferguson,18,18,TE,TE,DAL,2867159,17,100,78,634,37.3,8.1,7,2,93,5.5,2026
Cade Otton,19,19,TE,TE,TB,2815179,17,94,67,706,41.5,10.5,4,0,87,5.1,2026
A. Barner,20,20,TE,TE,SEA,3169283,17,60,47,472,27.8,10,7,0,86,5.1,2026
Dalton Schultz,21,21,TE,TE,HOU,2136748,17,95,71,692,40.7,9.8,4,0,85,5,2026
Kenyon Sadiq,22,22,TE,TE,NYJ,29125433,17,70,47,529,31.1,11.3,6,1,80,4.7,2026
Greg Dulcich,23,23,TE,TE,MIA,2964274,17,78,59,676,39.8,11.5,4,2,78,4.6,2026
Terrance Ferguson,24,24,TE,TE,LAR,26701481,17,58,29,530,31.2,18.3,5,0,76,4.5,2026
Darren Waller,25,25,TE,TE,CAR,1850793,17,65,46,469,27.6,10.2,6,0,74,4.4,2026
Pat Freiermuth,26,26,TE,TE,PIT,2961270,17,60,46,510,30,11.1,5,0,74,4.4,2026
Chigoziem Okonkwo,27,27,TE,TE,WAS,2965208,17,73,53,628,36.9,11.9,3,0,71,4.2,2026
Colby Parkinson,28,28,TE,TE,LAR,2867522,17,58,41,435,25.6,10.6,6,1,69,4.1,2026
David Njoku,29,30,TE,TE,LAC,2136474,17,62,42,403,23.7,9.6,6,0,68,4,2026
T.J. Hockenson,30,29,TE,TE,MIN,2251097,17,73,55,517,30.4,9.4,4,0,68,4,2026
Tyler Higbee,31,31,TE,TE,LAR,1853103,17,58,40,500,29.4,12.5,4,0,65,3.8,2026
Mike Gesicki,32,32,TE,TE,CIN,2139298,17,69,49,541,31.8,11,3,0,64,3.8,2026
Oronde Gadsden II,33,33,TE,TE,LAC,26727374,17,53,38,534,31.4,14.1,3,1,62,3.6,2026
Mason Taylor,34,34,TE,TE,NYJ,28878064,17,83,56,461,27.1,8.2,4,0,62,3.6,2026
Theo Johnson,35,35,TE,TE,NYG,3162129,17,56,35,389,22.9,11.1,5,0,60,3.5,2026
Evan Engram,36,36,TE,TE,DEN,2079887,17,84,56,479,28.2,8.6,3,0,57,3.4,2026
Dawson Knox,37,37,TE,TE,BUF,2186345,17,48,35,400,23.5,11.4,3,0,50,2.9,2026
Gunnar Helm,38,39,TE,TE,TEN,26696189,17,55,44,377,22.2,8.6,3,0,48,2.8,2026
Charlie Kolar,39,38,TE,TE,LAC,2866273,17,36,25,332,19.5,13.3,4,0,48,2.8,2026
Brock Wright,40,40,TE,TE,DET,2807423,17,51,34,303,17.8,8.9,4,0,45,2.6,2026
Jonnu Smith,41,41,TE,TE,GB,2081506,17,38,28,253,14.9,9,3,0,43,2.5,2026
Daniel Bellinger,42,42,TE,TE,TEN,2963615,17,35,26,332,19.5,12.8,3,0,42,2.5,2026
Josh Oliver,43,43,TE,TE,MIN,2184618,17,28,22,244,14.4,11.1,4,0,40,2.4,2026
Will Kacmarek,44,45,TE,TE,MIA,26717403,17,52,35,328,19.3,9.4,3,1,40,2.4,2026
Darnell Washington,45,44,TE,TE,PIT,3163963,17,49,35,383,22.5,10.9,2,1,40,2.4,2026
Noah Fant,46,47,TE,TE,NO,2251095,17,55,44,424,24.9,9.6,2,3,39,2.3,2026
Michael Mayer,47,46,TE,TE,LV,3171673,17,58,40,346,20.4,8.7,2,0,39,2.3,2026
Marlin Klein,48,48,TE,TE,HOU,28927889,17,51,35,353,20.8,10.1,2,1,37,2.2,2026
Eli Stowers,49,49,TE,TE,PHI,26696120,17,45,31,323,19,10.4,2,1,34,2,2026
Davis Allen,50,50,TE,TE,LAR,3123267,17,38,26,241,14.2,9.3,3,0,34,2,2026
Erick All,51,51,TE,TE,CIN,3121555,17,43,36,302,17.8,8.4,2,0,33,1.9,2026
