name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jahmyr Gibbs,1,2,RB,RB,DET,3162723,17,262,1350,5.2,15,91,74,625,36.8,8.5,5,1,297,17.5,2026
Bijan Robinson,2,1,RB,RB,ATL,3168163,17,302,1505,5,11,100,78,793,46.6,10.2,4,2,297,17.5,2026
Jonathan Taylor,3,3,RB,RB,IND,2866395,17,356,1578,4.4,15,53,42,345,20.3,8.2,2,2,274,16.1,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,17,304,1651,5.4,15,23,17,171,10.1,10.1,1,2,259,15.2,2026
Christian McCaffrey,5,5,RB,RB,SF,2136743,17,255,1006,4,8,94,74,683,40.2,9.2,5,1,229,13.5,2026
De'Von Achane,6,6,RB,RB,MIA,3171161,17,229,1130,4.9,7,93,75,551,32.4,7.4,6,1,227,13.4,2026
Ashton Jeanty,7,7,RB,RB,LV,28874008,17,293,1051,3.6,10,73,55,342,20.1,6.2,6,1,218,12.8,2026
James Cook,8,8,RB,RB,BUF,2975698,17,288,1437,5,9,39,32,274,16.1,8.6,2,3,214,12.6,2026
Chase Brown,9,9,RB,RB,CIN,2965160,17,235,1006,4.3,9,91,72,471,27.7,6.5,5,1,212,12.5,2026
Saquon Barkley,10,10,RB,RB,PHI,2185957,17,306,1376,4.5,7,55,40,313,18.4,7.8,2,1,203,11.9,2026
Josh Jacobs,11,12,RB,RB,GB,2257876,17,262,1006,3.8,13,43,35,283,16.6,8.1,1,1,193,11.4,2026
Kyren Williams,12,11,RB,RB,LAR,3121836,17,235,1113,4.7,10,44,34,250,14.7,7.4,3,2,193,11.4,2026
Cam Skattebo,13,13,RB,RB,NYG,26697012,17,219,953,4.4,9,55,42,361,21.2,8.6,4,2,190,11.2,2026
D'Andre Swift,14,14,RB,RB,CHI,2871710,17,247,1117,4.5,9,48,36,325,19.1,9,1,1,185,10.9,2026
Kenneth Walker III,15,15,RB,RB,KC,3121372,17,249,1158,4.7,8,55,47,361,21.2,7.7,0,1,182,10.7,2026
Bucky Irving,16,16,RB,RB,TB,26693770,17,263,1023,3.9,6,51,44,401,23.6,9.1,3,1,179,10.5,2026
Jeremiyah Love,17,17,RB,RB,ARI,29133405,17,211,997,4.7,8,56,43,364,21.4,8.5,2,3,173,10.2,2026
Omarion Hampton,18,18,RB,RB,LAC,28908905,17,220,892,4.1,10,53,47,299,17.6,6.4,2,1,172,10.1,2026
Javonte Williams,19,19,RB,RB,DAL,2961719,17,234,1088,4.7,10,42,29,141,8.3,4.9,1,2,169,9.9,2026
Travis Etienne,20,20,RB,RB,NO,2809206,17,230,908,4,5,64,46,352,20.7,7.7,5,1,168,9.9,2026
Breece Hall,21,21,RB,RB,NYJ,3123469,17,224,1013,4.5,6,53,40,370,21.8,9.3,2,2,165,9.7,2026
Bhayshul Tuten,22,22,RB,RB,JAC,26732838,17,224,890,4,11,22,16,128,7.5,8,3,3,164,9.6,2026
Quinshon Judkins,23,23,RB,RB,CLE,28878286,17,276,973,3.5,10,45,32,230,13.5,7.2,0,1,162,9.5,2026
Jadarian Price,24,24,RB,RB,SEA,28875230,17,229,980,4.3,9,27,20,222,13.1,11.1,1,3,158,9.3,2026
David Montgomery,25,25,RB,RB,HOU,2261252,17,263,1012,3.9,9,31,27,211,12.4,7.8,0,2,155,9.1,2026
J.K. Dobbins,26,26,RB,RB,DEN,2804420,17,248,1136,4.6,7,26,21,77,4.5,3.7,0,1,147,8.6,2026
Jaylen Warren,27,27,RB,RB,PIT,3126535,17,194,835,4.3,6,46,40,316,18.6,7.9,2,1,143,8.4,2026
TreVeyon Henderson,28,28,RB,RB,NE,26699547,17,189,884,4.7,7,40,33,202,11.9,6.1,1,1,139,8.2,2026
Rico Dowdle,29,29,RB,RB,PIT,2252798,17,191,833,4.4,7,46,36,253,14.9,7,1,1,137,8.1,2026
Jonathon Brooks,30,30,RB,RB,CAR,26730706,17,213,874,4.1,7,29,24,199,11.7,8.3,1,2,136,8,2026
Tony Pollard,31,31,RB,RB,TEN,2184011,17,227,992,4.4,6,43,34,215,12.6,6.3,0,3,133,7.8,2026
Rhamondre Stevenson,32,32,RB,RB,NE,3125832,17,169,694,4.1,7,40,33,325,19.1,9.9,2,3,133,7.8,2026
R. Harvey,33,33,RB,RB,DEN,3121207,17,149,529,3.6,6,56,45,332,19.5,7.4,4,1,128,7.5,2026
Jordan Mason,34,34,RB,RB,MIN,2967536,17,195,904,4.6,7,21,18,82,4.8,4.6,0,1,126,7.4,2026
Jacory Croskey-Merritt,35,35,RB,RB,WAS,3126952,17,180,859,4.8,8,13,9,71,4.2,7.9,0,2,125,7.4,2026
