name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,2,1.01,0.09,17298
Lamar Jackson,2,QB,BAL,QB2,1,2,8,2.55,1.06,17233
Drake Maye,3,QB,NE,QB3,1,2,8,3.38,1.25,23046
Joe Burrow,4,QB,CIN,QB4,1,2,16,4.76,2.18,19196
Jalen Hurts,5,QB,PHI,QB5,2,3,19,7.16,3.58,19275
Ja'Marr Chase,6,WR,CIN,WR1,2,6,14,7.21,2.21,19788
Jayden Daniels,7,QB,WAS,QB6,2,3,70,8.55,7.62,22902
Caleb Williams,8,QB,CHI,QB7,2,3,26,9.72,4.48,23084
Jahmyr Gibbs,9,RB,DET,RB1,2,2,15,10.07,2.08,22968
Puka Nacua,10,WR,LAR,WR2,2,6,23,11.26,3.03,23180
Bijan Robinson,11,RB,ATL,RB2,2,3,15,11.96,2.01,23133
Justin Herbert,12,QB,LAC,QB8,2,4,32,12.20,6.20,18635
Jaxon Smith-Njigba,13,WR,SEA,WR3,3,6,23,12.79,2.52,23070
Amon-Ra St. Brown,14,WR,DET,WR4,3,11,21,13.68,2.25,19799
Trevor Lawrence,15,QB,JAC,QB9,3,4,41,14.60,6.60,19780
Dak Prescott,16,QB,DAL,QB10,3,4,37,15.07,6.05,15600
Christian McCaffrey,17,RB,SF,RB3,3,13,42,19.34,7.39,16393
CeeDee Lamb,18,WR,DAL,WR5,3,14,31,21.02,2.80,19202
Justin Jefferson,19,WR,MIN,WR6,3,12,63,21.26,5.43,19236
Brock Purdy,20,QB,SF,QB11,4,8,50,22.89,7.38,19797
Bo Nix,21,QB,DEN,QB12,4,9,55,23.92,6.84,22910
Jonathan Taylor,22,RB,IND,RB4,4,10,48,24.33,7.60,19217
Jaxson Dart,23,QB,NYG,QB13,4,7,56,26.12,10.00,23160
Drake London,24,WR,ATL,WR7,4,20,45,26.27,5.24,23163
A.J. Brown,25,WR,NE,WR8,4,14,68,26.60,7.35,18218
James Cook III,26,RB,BUF,RB5,4,15,46,28.57,8.67,22958
Patrick Mahomes II,27,QB,KC,QB14,4,9,66,28.93,8.99,16413
Jared Goff,28,QB,DET,QB15,4,8,55,30.48,9.06,15501
Nico Collins,29,WR,HOU,WR9,4,21,45,30.52,5.65,20130
Chase Brown,30,RB,CIN,RB6,4,15,49,31.10,8.06,25324
Chris Olave,31,WR,NO,WR10,4,20,52,31.66,7.75,20111
Matthew Stafford,32,QB,LAR,QB16,4,16,56,31.69,9.55,9451
Trey McBride,33,TE,ARI,TE1,5,28,78,33.71,6.61,22936
George Pickens,34,WR,DAL,WR11,5,21,59,35.95,7.18,22963
De'Von Achane,35,RB,MIA,RB7,5,15,54,36.54,8.28,23136
DeVonta Smith,36,WR,PHI,WR12,5,20,63,38.22,8.62,19222
Brock Bowers,37,TE,LV,TE2,5,21,86,38.49,7.65,22955
Saquon Barkley,38,RB,PHI,RB8,5,22,58,39.12,6.68,17240
Kyler Murray,39,QB,MIN,QB17,5,19,87,39.48,11.58,18600
Malik Nabers,40,WR,NYG,WR13,5,23,68,40.40,10.19,25409
Omarion Hampton,41,RB,LAC,RB9,5,15,61,40.79,8.53,25395
Kenneth Walker III,42,RB,KC,RB10,5,15,71,41.00,8.99,23021
Jordan Love,43,QB,GB,QB18,5,19,60,43.50,10.37,19246
Rashee Rice,44,WR,KC,WR14,5,23,110,43.88,12.82,23113
Ashton Jeanty,45,RB,LV,RB11,5,13,74,44.02,9.99,25989
Baker Mayfield,46,QB,TB,QB19,5,17,60,45.79,9.90,17237
Zay Flowers,47,WR,BAL,WR15,5,24,72,46.35,8.77,22916
Garrett Wilson,48,WR,NYJ,WR16,5,24,80,47.02,8.95,23072
Ladd McConkey,49,WR,LAC,WR17,6,28,80,50.75,9.67,26122
Tyler Shough,50,QB,NO,QB20,6,19,87,50.81,9.63,23096
Jaylen Waddle,51,WR,DEN,WR18,6,34,82,51.19,9.70,19790
Tetairoa McMillan,52,WR,CAR,WR19,6,28,80,53.27,8.45,25417
Derrick Henry,53,RB,BAL,RB12,6,24,74,53.29,8.82,15514
Tee Higgins,54,WR,CIN,WR20,6,35,73,53.31,7.68,19211
Colston Loveland,55,TE,CHI,TE3,6,39,104,53.40,14.10,26006
Malik Willis,56,QB,MIA,QB21,6,29,124,53.88,13.81,23499
